Ref,Val,Package,PosX,PosY,Rot,Side
C1,10nF 6.3V,C_0402_1005Metric,79.020000,-39.150000,180.000000,top
C2,1nF 6.3V,C_0402_1005Metric,77.800000,-33.010000,0.000000,top
C3,2.2µF 16V,C_0805_2012Metric,75.520000,-39.550000,270.000000,top
C4,22µF 16V,C_1206_3216Metric,72.340000,-35.330000,90.000000,top
C13,0.1µF 6.3V,C_0402_1005Metric,80.950000,-31.090000,180.000000,top
D1,green,LED_0402_1005Metric,71.400000,-30.100000,180.000000,top
D2,green,LED_0402_1005Metric,71.520000,-41.810000,0.000000,top
R1,12k,R_0402_1005Metric,80.060000,-40.360000,0.000000,top
R2,18k,R_0402_1005Metric,77.720000,-31.390000,0.000000,top
R3,18k,R_0402_1005Metric,80.000000,-38.080000,0.000000,top
R4,18k,R_0402_1005Metric,80.580000,-36.590000,90.000000,top
R5,18k,R_0402_1005Metric,80.190000,-34.310000,0.000000,top
R6,4k7,R_0402_1005Metric,72.510000,-31.820000,180.000000,top
R7,4k7,R_0402_1005Metric,73.930000,-32.350000,270.000000,top
R8,6.2k,R_0402_1005Metric,81.170000,-41.360000,180.000000,top
R11,18k,R_0402_1005Metric,78.640000,-40.580000,90.000000,top
R12,6.2k,R_0402_1005Metric,80.500000,-32.660000,270.000000,top
U1,STSPIN233,VQFN-16-1EP_3x3mm_P0.5mm_EP1.8x1.8mm,76.640000,-35.750000,0.000000,top